Module,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5
CRC_Module_0,,1.0,,,
CRC_Module_1,,,,1.0,
CRC_Module_2,,,1.0,,
CRC_Module_3,,,,,1.0
CRC_Module_4,1.0,,,,
CRC_Module_5,,,,,1.0
CRC_Module_6,1.0,,,,
CRC_Module_7,1.0,,,,
CRC_Module_8,,,,,1.0
CRC_Module_9,,,,1.0,
CRC_Module_10,,,,1.0,
CRC_Module_11,1.0,,,,
CRC_Module_12,1.0,,,,
Healthy_Module_0,,,,1.0,
Healthy_Module_1,1.0,,,,
Healthy_Module_2,1.0,,,,
Healthy_Module_3,1.0,,,,
Healthy_Module_4,,,1.0,,
Healthy_Module_5,,,1.0,,
Healthy_Module_6,,,,1.0,
Healthy_Module_7,1.0,,,,
Healthy_Module_8,1.0,,,,
Healthy_Module_9,,,,1.0,
Healthy_Module_10,,1.0,,,
Healthy_Module_11,,,,1.0,
Healthy_Module_12,1.0,,,,
Healthy_Module_13,1.0,,,,
Healthy_Module_14,,,,,1.0
Healthy_Module_15,,,,1.0,
