Species_Partner_1,Species_Partner_2,Genera_Partner_1,Genera_Partner_2
Roseburia_inulinivorans,Coprococcus_catus,Bifidobacterium,Roseburia
Bacteroides_uniformis,Escherichia_coli,Bifidobacterium,Eubacterium
Bifidobacterium_adolescentis,Bifidobacterium_infantis,Bifidobacterium,Anaerostipes
Roseburia_sp_A2183,Bifidobacterium_adolescentis,Veillonella,Propionibacterium
Bacteroides_thetaiotaomicron,Faecalibacterium_prausnitzii,Streptococcus,Lactobacillus
Roseburia_intestinalis,Methanobrevibacter_smithii,Bifidobacterium,Bacteroides
Roseburia_intestinalis,Blautia_hydrogenotrophia,Anaerostipes,Lactobacillus
Blautia_hydrogenotrophia,Methanobrevibacter_smithii,,
Bacteroides_theatiotaomicron,Blautia_hydrogenotrophia,,
Syntrophomonas_wolfei,Methanobacterium_formicicum,,
Pelotomaculum_thermopropionicum,Methanothermobacter_thermautotrophicus,,
Clostridium_acetobutylicum,Desulfovibrio_vulgaris,,
Streptococcus_thermophilus,Lactobacillus_delbueckii,,
Bacteroides_theatiotaomicron,Bifdobacterium_longum,,
Bacteroides_theatiotaomicron,Bifdobacterium_adolescentis ,,
Bacteroides_theatiotaomicron,Bifdobacterium_angulatum,,
Bacteroides_theatiotaomicron,Bifdobacterium_breve ,,
Anaerostipes_caccae,Lactobacillus_acidophilus,,
Bifidobacterium_bifidum,Bifdobacterium_breve ,,
Bacteroides_ovatus,Bacteroides_vulgatus,,
